Frame,Time,People_Count_true,Time_teacher,People_Count_teacher,Time_qc,People_Count_qc,Difference
1300,1:18:27,6,1:18:27,4.0,02:44:29,6,0
1305,1:18:28,6,1:18:28,4.0,02:44:37,6,0
1310,1:18:29,6,1:18:29,4.0,02:44:44,6,0
1315,1:18:30,6,1:18:30,4.0,02:44:52,6,0
1320,1:18:31,6,1:18:31,4.0,02:44:59,6,0
1325,1:18:32,6,1:18:32,4.0,02:45:07,7,1
1330,1:18:33,6,1:18:33,5.0,02:45:14,7,1
1335,1:18:34,6,1:18:34,5.0,02:45:22,7,1
1340,1:18:35,6,1:18:35,5.0,02:45:29,6,0
1345,1:18:36,6,1:18:36,5.0,02:45:37,5,-1
1350,1:18:37,6,1:18:37,5.0,02:45:44,5,-1
1355,1:18:37,6,1:18:37,6.0,02:45:52,6,0
1360,1:18:38,6,1:18:38,6.0,02:45:59,6,0
1365,1:18:39,6,1:18:39,5.0,02:46:07,7,1
1370,1:18:40,6,1:18:40,4.0,02:46:14,7,1
1375,1:18:41,6,1:18:41,5.0,02:46:22,7,1
1380,1:18:42,6,1:18:42,5.0,02:46:29,6,0
1385,1:18:43,6,1:18:43,5.0,02:46:37,7,1
1390,1:18:44,6,1:18:44,5.0,02:46:44,6,0
1395,1:18:45,6,1:18:45,5.0,02:46:52,7,1
1400,1:18:46,6,1:18:46,5.0,02:46:59,7,1
1405,1:18:47,6,1:18:47,5.0,02:47:07,5,-1
1410,1:18:48,6,1:18:48,5.0,02:47:14,7,1
1415,1:18:49,6,1:18:49,5.0,02:47:22,7,1
1420,1:18:50,6,1:18:50,5.0,02:47:29,7,1
1425,1:18:51,6,1:18:51,5.0,02:47:36,7,1
1430,1:18:52,6,1:18:52,5.0,02:47:44,7,1
1435,1:18:53,6,1:18:53,5.0,02:47:51,7,1
1440,1:18:54,6,1:18:54,5.0,02:47:59,7,1
1445,1:18:55,5,1:18:55,5.0,02:48:06,7,2
1450,1:18:56,5,1:18:56,5.0,02:48:14,7,2
1455,1:18:57,5,1:18:57,5.0,02:48:21,6,1
1460,1:18:58,5,1:18:58,5.0,02:48:28,7,2
1465,1:18:59,5,1:18:59,4.0,02:48:36,6,1
1470,1:19:00,5,1:19:00,4.0,02:48:43,7,2
1475,1:19:01,5,1:19:01,4.0,02:48:51,7,2
1480,1:19:02,5,1:19:02,5.0,02:48:58,7,2
1485,1:19:03,5,1:19:03,5.0,02:49:06,7,2
1490,1:19:04,5,1:19:04,5.0,02:49:13,7,2
1495,1:19:05,5,1:19:05,5.0,02:49:21,7,2
1500,1:19:06,5,1:19:06,5.0,02:49:28,7,2
1505,1:19:07,5,1:19:07,4.0,02:49:36,7,2
1510,1:19:08,5,1:19:08,6.0,02:49:43,7,2
1515,1:19:09,5,1:19:09,6.0,02:49:51,7,2
1520,1:19:10,5,1:19:10,5.0,02:49:58,7,2
1525,1:19:10,5,1:19:10,6.0,02:50:06,7,2
1530,1:19:11,5,1:19:11,6.0,02:50:13,7,2
1535,1:19:12,5,1:19:12,6.0,02:50:21,7,2
1540,1:19:13,5,1:19:13,6.0,02:50:28,7,2
1545,1:19:14,5,1:19:14,5.0,02:50:36,7,2
1550,1:19:15,5,1:19:15,7.0,02:50:43,7,2
1555,1:19:16,5,1:19:16,7.0,02:50:51,6,1
1560,1:19:17,5,1:19:17,7.0,02:50:58,6,1
1565,1:19:18,5,1:19:18,6.0,02:51:06,6,1
1570,1:19:19,5,1:19:19,7.0,02:51:13,6,1
1575,1:19:20,5,1:19:20,7.0,02:51:21,6,1
1580,1:19:21,5,1:19:21,7.0,02:51:28,6,1
1585,1:19:22,5,1:19:22,7.0,02:51:35,6,1
1590,1:19:23,5,1:19:23,7.0,02:51:43,6,1
1595,1:19:24,5,1:19:24,6.0,02:51:50,7,2
1600,1:19:25,5,1:19:25,7.0,02:51:58,7,2
1605,1:19:26,5,1:19:26,7.0,02:52:05,6,1
1610,1:19:27,5,1:19:27,7.0,02:52:12,7,2
1615,1:19:28,5,1:19:28,6.0,02:52:20,6,1
1620,1:19:29,5,1:19:29,6.0,02:52:27,6,1
1625,1:19:30,5,1:19:30,6.0,02:52:35,7,2
